timh diaforas x1,timh diaforas x2,timh deigmatos x1,timh deigmatos x2
0,0,-46,-54,
0,0,-62,-70,
0,0,-78,-86,
0,0,-94,-102,
0,0,-110,-118,
0,0,-126,-128,
13,15,-123,-116,
15,15,-109,-102,
15,15,-95,-88,
15,15,-81,-74,
15,15,-67,-60,
15,15,-53,-46,
15,15,-39,-32,
15,15,-25,-18,
15,15,-11,-4,
15,15,3,10,
15,15,17,24,
15,15,31,38,
0,0,30,22,
0,0,14,6,
0,0,-2,-10,
0,0,-18,-26,
0,0,-34,-42,
0,0,-50,-58,
0,0,-66,-74,
15,15,-67,-60,
15,15,-53,-46,
15,15,-39,-32,
15,15,-25,-18,
15,15,-11,-4,
15,15,3,10,
15,15,17,24,
0,0,16,8,
0,0,0,-8,
0,0,-16,-24,
0,0,-32,-40,
0,0,-48,-56,
0,0,-64,-72,
0,0,-80,-88,
15,15,-81,-74,
15,15,-67,-60,
15,15,-53,-46,
15,15,-39,-32,
15,15,-25,-18,
15,15,-11,-4,
15,15,3,10,
15,15,17,24,
15,15,31,38,
15,15,45,52,
15,15,59,66,
15,0,73,65,
0,0,57,49,
0,0,41,33,
0,0,25,17,
0,0,9,1,
0,0,-7,-15,
0,0,-23,-31,
15,15,-24,-17,
15,15,-10,-3,
15,15,4,11,
15,15,18,25,
15,15,32,39,
15,15,46,53,
15,15,60,67,
15,0,74,66,
0,0,58,50,
0,0,42,34,
0,0,26,18,
0,0,10,2,
0,0,-6,-14,
0,0,-22,-30,
0,0,-38,-46,
0,0,-54,-62,
0,0,-70,-78,
0,0,-86,-94,
15,15,-87,-80,
15,15,-73,-66,
15,15,-59,-52,
15,15,-45,-38,
15,15,-31,-24,
15,15,-17,-10,
15,15,-3,4,
15,15,11,18,
0,0,10,2,
0,0,-6,-14,
0,0,-22,-30,
0,0,-38,-46,
0,0,-54,-62,
